"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVICBUS","194913","17.144","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195013","16.877","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195113","15.782","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195213","15.715","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195313","14.958","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195413","15.597","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195513","11.126","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195613","10.946","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195713","10.664","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195813","11.439","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195913","11.509","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196013","12.306","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196113","11.481","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196213","11.631","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196313","11.039","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196413","11.014","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196513","10.692","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196613","10.856","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196713","11.705","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196813","11.541","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196913","11.176","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197013","11.068","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197113","10.989","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197213","11.315","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197301","1.04","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197302","0.962","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197303","1.064","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197304","1.016","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197305","1.049","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197306","1.018","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197307","0.906","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197308","0.875","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197309","0.764","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197310","0.832","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
