"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"EMACBUS","194913","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","195013","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","195113","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","195213","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","195313","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","195413","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","195513","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","195613","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","195713","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","195813","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","195913","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","196013","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","196113","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","196213","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","196313","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","196413","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","196513","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","196613","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","196713","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
"EMACBUS","196813","Not Available","1","Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector","Trillion Btu"
